Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
233877,Airplane,METRO OAKLAND INTL,< 1000 ft,B-737-800,2 to 10,3,None,1/9/2005 0:00,No damage,2,DELTA AIR LINES,California,Climb,None,FALSE,FALSE,,Small,No Cloud,Unknown bird - small,Y,0,400,0,Yes
233141,Airplane,SOUTHWEST FLORIDA INTL ARPT,> 1000 ft,B-717-200,2 to 10,8,Precautionary Landing,1/9/2005 0:00,No damage,2,AIRTRAN AIRWAYS,Florida,Climb,None,TRUE,TRUE,"INGESTED 1 OR MORE BIRD. #1 ENG SURGED. A/C LANDED W/O INCIDENT. RWY INSPN FOUND NO REMAINS ON RWY, BUT FOUND IN ENG. ID BY SMITHSONIAN.",Large,No Cloud,Black vulture,Y,0,"1,500",0,No
231501,Airplane,SACRAMENTO INTL,> 1000 ft,A-320,2 to 10,6,Precautionary Landing,1/9/2005 0:00,No damage,2,UNITED AIRLINES,California,Climb,None,FALSE,FALSE,"SUDDEN LOUD BANG FOLLOWED BY SMELL IN CABIN/COCKPIT. MOMENTARY ECOM ENG #1 STALL  EMERGENCY DECLRD. HIT LE OTBD OF L ENG, & WING. BIRD ENTERED CORE. BORESCOPED. NO DMG. CLEANED AREAS. DID OVERWT LDG CHECKLIST ALL ENGS OPERATED NORMALLY UNTIL SHUTDOWN.",Large,Overcast,Canada goose,N,0,"1,500",0,No
222129,Airplane,SACRAMENTO INTL,< 1000 ft,B-757-200,2 to 10,5,None,1/11/2005 0:00,Caused damage,2,UNITED AIRLINES,California,Approach,Fog,TRUE,TRUE,RAN THRU 2 FLOCKS OF BIRDS ON 2 MILE FINAL. 2 STRIKES. 1 ON L ENG OTHER ON NOSE STRUT. BROKE BOTH LIGHTS (LDG & TAXI). ONLY HEARD I IMPACT. RPL RT NLG LDG LIGHT FRAME & RETAINER. RPL OTH NLG LDG LTS. 4 FAN BLADES DAMGED AT TIPS & MID SPAN. MANY BLADES HAV,Medium,Overcast,Northern pintail,Y,"11,714","1,000",0,Yes
234922,Airplane,GRAND JUNCTION REGIONAL ARPT,< 1000 ft,EMB-120,2 to 10,3,None,1/12/2005 0:00,No damage,2,SKYWEST AIRLINES,Colorado,Climb,None,FALSE,FALSE,"NO DMG, REMAINS ONLY. SML BROWN BIRDS.",Small,No Cloud,Unknown bird - small,N,0,50,0,No
230648,Airplane,LAGUARDIA NY,< 1000 ft,A-319,2 to 10,10,None,1/17/2005 0:00,No damage,2,US AIRWAYS*,New York,Landing Roll,None,FALSE,FALSE,PILOT REPTD FLOCK OF STRLINGS FLEW ACROSS AS A/C TOUCHED DOWN. HIT 1 ABOVE COCKPIT WINDSHLD & 1 ON RT WING. NO DMG. PILOT WAS GIVEN 5200-7 FORM.,Small,Some Cloud,European starling,N,0,0,0,No
232062,Airplane,ORLANDO INTL,< 1000 ft,A-320,2 to 10,4,None,1/20/2005 0:00,No damage,2,SKYSERVICE AIRLINES,Florida,Take-off run,None,FALSE,FALSE,"NIL DMG. (BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",Medium,Some Cloud,Ring-billed gull,N,0,0,0,No
230957,Airplane,THEODORE FRANCIS GREEN STATE,< 1000 ft,MD-83,2 to 10,9,None,1/20/2005 0:00,No damage,2,SPIRIT AIRLINES,Rhode Island,Take-off run,None,FALSE,FALSE,CONTD TO FLL,Small,No Cloud,Unknown bird - small,N,0,0,0,No
235917,Airplane,GRANT COUNTY ARPT,> 1000 ft,B-747,2 to 10,7,None,1/28/2005 0:00,No damage,4,JAPAN AIRLINES,Washington,Approach,None,FALSE,FALSE,,Small,Some Cloud,Unknown bird - small,N,0,"1,300",0,No
232397,Airplane,HONOLULU INTL ARPT,< 1000 ft,B-717-200,2 to 10,4,Aborted Take-off,1/31/2005 0:00,Caused damage,2,HAWAIIAN AIR,Hawaii,Take-off run,Rain,TRUE,FALSE,"FERAL DUCK. (UPDATED TO MALLARD) STRIKE WS ABOUT 3,000 FT DOWN RWY 8L FROM APCH END. 3 CARCASSES FOUND. LOW SPEED ABORT. RETD TO RAMP. 1 TAXI LIGHT DAMAGED.",Medium,Overcast,Mallard,N,0,0,0,No
232994,Airplane,LUBBOCK INTL,< 1000 ft,EMB-145,2 to 10,4,None,2/8/2005 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Texas,Approach,Fog,FALSE,FALSE,"NORMAL REPORTS OF BIRD ACTIVITY IN VICINITY OF ARPT, NOT SPECIFIC TO FLOCK",Small,Overcast,Rock pigeon,Y,0,100,0,No
228667,Airplane,LAMBERT-ST LOUIS INTL,< 1000 ft,B-727-200,2 to 10,2,None,2/11/2005 0:00,No damage,3,CAPITAL CARGO INTL,Missouri,Landing Roll,None,FALSE,FALSE,ATIS WARNING.,Small,No Cloud,Rock pigeon,Y,0,0,0,No
232761,Airplane,HOUSTON-HOBBY,< 1000 ft,B-737-500,2 to 10,6,None,2/13/2005 0:00,No damage,2,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,SML/MED. MAYBE GULLS OR PIPERS.,Small,No Cloud,Unknown bird - small,N,0,50,0,Yes
234397,Airplane,EXECUTIVE ARPT,< 1000 ft,CITATION X,2 to 10,6,None,2/15/2005 0:00,Caused damage,2,BUSINESS,Florida,Approach,None,FALSE,FALSE,BLOOD ON A/C TAIL. BIRD PARTS IN ENG. PER PILOT.,Large,Some Cloud,Unknown bird - large,Y,0,300,0,No
226080,Airplane,HILO INTL ARPT,< 1000 ft,B-737-200,2 to 10,7,None,2/16/2005 0:00,No damage,2,ALOHA AIRLINES,Hawaii,Landing Roll,None,FALSE,FALSE,4 CARCASSES FOUND AT 2000' MARKER RWY 8. SOME BLOOD ON A/C. NO DMG.,Small,Some Cloud,Nutmeg mannikin,N,0,0,0,Yes
233781,Airplane,VAN NUYS ARPT,< 1000 ft,CL-601/604,2 to 10,7,None,2/20/2005 0:00,No damage,2,BUSINESS,California,Approach,Rain,FALSE,FALSE,LRG FLOCK OF GULLS FEEDING ON APCH END OF 16R WHEN TWR ANNOUONCED AN APPCH WAS IN PROGRESS. OPS REQSTD PERMISSION TO DISPERSE THE BIRDS WITH CAR HORN BUT WAS DENIED BY TWR. A/C DISPERSED THE FLOCK BUT HIT 2. NO DMG REPTD.,Medium,Overcast,California gull,Y,0,150,0,No
233272,Airplane,DEKALB-PEACHTREE ARPT,< 1000 ft,BE-400 BJET,2 to 10,9,None,2/22/2005 0:00,No damage,2,BUSINESS,Georgia,Approach,Fog,FALSE,FALSE,2 SML BIRDS.,Small,Some Cloud,Unknown bird - small,Y,0,60,0,No
233721,Airplane,YEAGER ARPT,< 1000 ft,BE-1900,2 to 10,10,Precautionary Landing,2/25/2005 0:00,Caused damage,2,COMMUTAIR,West Virginia,Climb,None,FALSE,FALSE,HIT SEVERAL SML BLACK BIRDS ON DEPTR. ARFF RESPONDED. DMG TO L WING. DENTS. BLOOD ON PROP.,Small,Some Cloud,Unknown bird - small,N,"8,199",100,0,No
234010,Airplane,ONTARIO INTL ARPT,< 1000 ft,B-767-300,2 to 10,3,None,3/3/2005 0:00,No damage,2,UPS AIRLINES,California,Landing Roll,None,TRUE,FALSE,1 CARCASS FOUND ON 26L ABOUT 70' FROM TWY D. NO DMG WAS REPTD. 1 BIRD WAS SEEN HITTING CAPT'S WINDSHLD AND ABOUT 6 HIT L SIDE OF FUSELAGE.,Small,Some Cloud,Western meadowlark,N,0,0,0,Yes
234738,Airplane,CLEVELAND-HOPKINS INTL ARPT,< 1000 ft,B-737-700,2 to 10,3,Precautionary Landing,3/7/2005 0:00,No damage,2,SOUTHWEST AIRLINES,Ohio,Climb,None,TRUE,TRUE,"BIRDS WERE SEEN BY PRECEDING A/C IN THE INFIELD AT V1 THE WHOLE FLOCK MOVED INTO OUR PATH. WE COULDN'T HAVE AVOIDED THEM EVEN IF WE REJECTED T/O. A/C REMAINED IN TRAFFIC PATTERN & REQSTD IMMED RETURN. OVER 100 GULLS WERE SEEN THE NIGHT BEFORE, CIRCLING OV",Medium,Overcast,Herring gull,Y,"2,343",15,0,Yes
